Date,Open,High,Low,Close,Volume,Daily Change
2019-01-02,128.99,137.51,128.56,135.68,28146192,0.0
2019-01-03,134.69,137.17,131.12,131.74,22717948,-0.029038915094339646
2019-01-04,134.01,138.0,133.75,137.95,29002060,0.04713830271747366
2019-01-07,137.56,138.87,135.91,138.05,20089336,0.0007249003262053133
2019-01-08,139.89,143.14,139.54,142.53,26263792,0.032452010141253096
2019-01-09,142.95,144.7,141.27,144.23,22205880,0.011927313548024898
2019-01-10,143.08,144.56,140.84,144.2,16125004,-0.00020800110933927307
2019-01-11,143.15,145.36,142.57,143.8,12908031,-0.002773925104022079
2019-01-14,142.0,146.57,141.27,145.39,20520278,0.011057023643949782
2019-01-15,146.01,150.68,145.99,148.95,24068822,0.024485865602861256
2019-01-16,149.0,149.65,147.0,147.54,18025714,-0.009466263846928502
2019-01-17,146.95,149.0,146.5,148.3,15787914,0.005151145452080952
2019-01-18,149.75,152.43,148.55,150.04,31029612,0.011732973701955363
2019-01-22,149.2,151.53,146.37,147.57,22378694,-0.01646227672620637
2019-01-23,148.28,148.8,143.06,144.3,20098416,-0.022158975401504244
2019-01-24,144.64,146.44,142.52,145.83,20955518,0.010602910602910631
2019-01-25,147.48,149.83,146.54,149.01,22250954,0.021806212713433304
2019-01-28,148.05,148.96,146.21,147.47,15508483,-0.01033487685390233
2019-01-29,148.09,148.1,143.43,144.19,17631952,-0.022241811893944585
2019-01-30,146.22,150.95,145.7,150.42,44613240,0.043206879811359844
2019-01-31,165.6,171.68,165.0,166.69,77233600,0.10816380800425485
2019-02-01,165.84,169.1,165.66,165.71,30806512,-0.005879176915231765
2019-02-04,165.7,169.3,163.62,169.25,20036470,0.021362621447106322
2019-02-05,169.15,171.98,168.69,171.16,22556984,0.011285081240768102
2019-02-06,171.2,172.47,169.27,170.49,13281161,-0.003914465996728178
2019-02-07,168.2,169.24,165.25,166.38,17517608,-0.024106985746964682
2019-02-08,164.47,167.37,164.21,167.33,12561422,0.00570982089193417
2019-02-11,167.9,168.3,165.08,165.79,12811176,-0.00920337058507159
2019-02-12,166.86,168.34,164.5,165.04,16292290,-0.004523795162555078
2019-02-13,165.38,166.22,163.73,164.07,14205146,-0.00587736306349973
2019-02-14,163.19,164.87,162.25,163.95,12755151,-0.0007313951362223348
2019-02-15,164.51,164.7,160.86,162.5,15504415,-0.008844159804818452
2019-02-19,160.5,164.15,160.33,162.29,14345390,-0.0012923076923077037
2019-02-20,162.25,163.72,161.25,162.56,11770692,0.0016636884589316114
2019-02-21,161.93,162.24,159.59,160.04,15607828,-0.015501968503937036
2019-02-22,160.58,162.41,160.31,161.89,15858468,0.011559610097475526
2019-02-25,163.07,166.07,162.9,164.62,18737106,0.01686330224226329
2019-02-26,164.34,166.24,163.8,164.13,13784063,-0.002976552059288151
2019-02-27,162.9,163.93,160.41,162.81,12697485,-0.008042405410345399
2019-02-28,162.37,163.5,160.86,161.45,11114185,-0.008353295252134463
2019-03-01,162.6,163.13,161.69,162.28,11097770,0.0051409104986064325
2019-03-04,163.9,167.5,163.83,167.37,18894688,0.031365541040177414
2019-03-05,167.37,171.88,166.55,171.26,28187890,0.02324191910139195
2019-03-06,172.9,173.57,171.27,172.51,21531724,0.007298843863132065
2019-03-07,171.5,171.74,167.61,169.13,18306504,-0.019593067068575665
2019-03-08,166.2,169.62,165.97,169.6,13184831,0.0027789274522556084
2019-03-11,171.6,174.3,171.58,172.07,18883984,0.014563679245283012
2019-03-12,172.09,173.8,171.22,171.92,12155264,-0.000871738246062681
2019-03-13,172.32,174.03,172.12,173.37,11973280,0.008434155421126244
2019-03-14,169.76,171.15,168.16,170.17,18037364,-0.018457633962046582
2019-03-15,167.16,167.58,162.51,165.98,37126000,-0.024622436387142232
2019-03-18,163.57,163.9,159.28,160.47,37524192,-0.03319677069526439
2019-03-19,161.48,163.82,160.82,161.57,25611488,0.006854863837477465
2019-03-20,161.5,166.12,161.24,165.44,20211474,0.02395246642322224
2019-03-21,164.89,166.39,163.75,166.08,16223007,0.003868471953578423
2019-03-22,165.65,167.42,164.09,164.34,16389185,-0.010476878612716845
2019-03-25,163.0,166.54,162.0,166.29,12631230,0.011865644395764763
2019-03-26,167.35,169.45,166.35,167.68,15437920,0.008358891093872334
2019-03-27,167.85,168.94,164.79,165.87,10620299,-0.010794370229007644
2019-03-28,164.57,166.72,163.33,165.55,10689171,-0.0019292216796286121
2019-03-29,166.39,167.19,164.81,166.69,13455454,0.006886137118695235
2019-04-01,167.83,168.9,167.28,168.7,10381490,0.012058311836342872
2019-04-02,170.14,174.9,169.55,174.2,23946528,0.032602252519265074
2019-04-03,174.5,177.96,172.95,173.54,27590058,-0.003788748564867994
2019-04-04,176.02,178.0,175.53,176.02,17847732,0.014290653451653812
2019-04-05,176.88,177.0,175.1,175.72,9594133,-0.0017043517782070472
2019-04-08,175.21,175.5,174.23,174.93,7297379,-0.004495788754837249
2019-04-09,175.62,179.19,175.55,177.58,19751032,0.015148916709540883
2019-04-10,178.18,178.79,176.54,177.82,11701479,0.001351503547696753
2019-04-11,178.24,178.4,177.0,177.51,8070967,-0.001743335957710035
2019-04-12,178.0,179.63,177.95,179.1,12329812,0.008957241845529929
2019-04-15,178.5,180.5,176.87,179.65,10834762,0.0030709101060859556
2019-04-16,179.0,180.17,178.3,178.87,11215193,-0.004341775674923443
2019-04-17,179.6,180.74,178.36,178.78,9973732,-0.0005031587186224984
2019-04-18,178.8,178.88,177.34,178.28,11655608,-0.0027967334153709
2019-04-22,178.25,181.66,178.25,181.44,13389889,0.017724927080996267
2019-04-23,182.74,184.22,181.48,183.78,19954814,0.012896825396825351
2019-04-24,184.49,185.14,181.65,182.58,37289872,-0.0065295461965392265
2019-04-25,196.98,198.48,192.12,193.26,54148788,0.05849490634242516
2019-04-26,192.5,192.9,189.09,191.49,22075002,-0.009158646383110702
2019-04-29,190.95,195.41,190.65,194.78,19641310,0.017181053840931604
2019-04-30,194.19,197.39,192.28,193.4,23494688,-0.007084916315843515
2019-05-01,194.78,196.18,193.01,193.03,15996646,-0.001913133402275058
2019-05-02,193.0,194.0,189.75,192.53,13209452,-0.0025902709423405446
2019-05-03,194.38,196.16,193.71,195.47,14575434,0.015270347478315127
2019-05-06,191.24,194.28,190.55,193.88,13994932,-0.008134240548421823
2019-05-07,192.54,192.9,187.85,189.77,16253001,-0.021198679595626047
2019-05-08,189.39,190.72,188.55,189.54,12505737,-0.0012119934657744968
2019-05-09,187.2,189.77,186.26,188.65,12967033,-0.004695578769652764
2019-05-10,188.25,190.0,184.59,188.34,12578508,-0.0016432547044792356
2019-05-13,183.5,185.43,180.84,181.54,16833348,-0.036104916640118945
2019-05-14,182.52,183.49,178.1,180.73,17628142,-0.004461826594689855
2019-05-15,180.42,187.28,180.02,186.27,16746904,0.030653460963868895
2019-05-16,185.05,188.57,185.05,186.99,12953111,0.0038653567402158195
2019-05-17,184.84,187.58,184.28,185.3,10485370,-0.009037916466121176
2019-05-20,181.88,184.23,181.37,182.72,10351981,-0.013923367512142515
2019-05-21,184.57,185.7,183.88,184.82,7502820,0.011492994746059582
